baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene
9885.28627,0.009645474,0.497571446,0.019385103,0.984533895,0.990149107,PDGFRA
4342.410249,-0.162396132,0.606474959,-0.267770547,0.788875943,0.909183821,FGF2
8025.377811,0.545133053,0.416595092,1.308544109,0.190688824,0.406751564,IGFBP7
20117.06291,0.313571702,0.096257177,3.257644891,0.001123409,0.010426023,ANXA5
4212.861868,0.183965452,0.223365236,0.823608255,0.410162184,0.667617832,SEPTIN11
6563.332269,-0.858740539,0.346189673,-2.480549264,0.013118014,0.066089801,ANTXR2
5327.288439,0.338696092,0.122243394,2.770669893,0.005594111,0.033628234,SCARB2
3739.344791,-0.127823788,0.152042281,-0.840712117,0.400509231,0.662952631,ADD1
4242.272509,-0.913160225,0.521597492,-1.750699034,0.079997766,0.229993577,MYO10
3211.902051,-0.698650392,0.938366122,-0.744539231,0.456550316,0.702078829,NPR3
30698.36397,0.231048633,0.328180203,0.704029769,0.481414235,0.715584257,VCAN
9210.665381,-0.262049875,0.415088183,-0.631311333,0.527836978,0.745713856,ITGA2
4039.703296,0.252652974,0.309758652,0.815644607,0.414703429,0.668799309,OSMR
5176.085104,-0.322935222,0.151112822,-2.137047124,0.032594159,0.124944276,RPL37
5980.098153,0.676485013,0.646520972,1.046346589,0.295401043,0.55023645,DAB2
13810.06161,-0.141746781,0.256252621,-0.553152514,0.58015898,0.773058187,IL6ST
54753.96612,0.315168642,0.463253494,0.680337324,0.496290897,0.725115514,TGFBI
4708.784537,0.423885148,0.477724504,0.887300408,0.374917186,0.633645979,EDIL3
4574.713188,0.552411101,0.380764333,1.450795291,0.146836871,0.334813383,CDH6
9899.879747,0.540701943,0.47658498,1.134534166,0.25657055,0.500833288,MAP1B
3390.814048,-0.245167602,0.663254617,-0.369643265,0.71164831,0.876173052,ESM1
3722.225435,0.235387274,0.666323787,0.3532626,0.723891581,0.876701457,RHOBTB3
6298.377062,-0.076869908,0.06291023,-1.221898385,0.221746056,0.447723907,CTNNA1
7579.616843,0.118724451,0.491599265,0.241506568,0.809162527,0.919281826,DPYSL3
5400.902011,0.051928188,0.18893003,0.27485407,0.783428356,0.906856893,ANXA6
8276.641862,-0.467611415,0.134950247,-3.465065263,0.000530103,0.005966476,RACK1
6742.390281,0.339052976,0.139241149,2.435005582,0.01489156,0.071510344,ERGIC1
5811.094264,0.731304442,0.742558263,0.984844529,0.324700444,0.576649511,SYNPO
4330.688853,0.26645029,0.427753765,0.622905773,0.533346444,0.746402828,NDST1
3785.633932,0.585661334,0.396657234,1.476492258,0.139811792,0.324387886,SQSTM1
18216.36231,0.288653735,0.188996683,1.527295248,0.126687611,0.30324772,SPOCK1
3965.041367,0.49575461,0.207899817,2.384584162,0.017098436,0.077308315,TMED9
3593.834906,-0.166263026,0.216492768,-0.767984207,0.442496568,0.688472601,DBN1
5361.792777,1.96335404,0.354419178,5.539638271,3.03E-08,2.29E-06,SLIT3
4311.432988,-0.022641343,0.16495043,-0.137261496,0.890824104,0.962377883,LARP1
4534.75891,0.168233815,0.295445832,0.56942355,0.569068739,0.765998379,CAST
4186.351256,-0.233642333,0.204620684,-1.141831452,0.253524086,0.498565953,HSPA9
74365.79799,0.56367715,0.301580124,1.869079243,0.06161179,0.194003792,SPARC
32595.64084,1.003781679,0.495657861,2.025150325,0.042851931,0.149900689,LOX
6450.646528,-0.663439059,0.081564635,-8.133905821,4.16E-16,1.10E-13,NPM1
4409.540675,0.87149556,0.404451637,2.154758394,0.031180746,0.120398646,P4HA2
15942.07806,0.069467156,0.187538346,0.370415743,0.711072745,0.876173052,CANX
3838.977823,-0.341858202,0.169213818,-2.020273561,0.04335502,0.149900689,RPS14
8470.437176,0.333163664,0.70847136,0.470257067,0.638171367,0.834015473,STC2
4455.820499,0.016317967,0.177230468,0.092072018,0.92664082,0.963863423,TNPO1
7480.918559,0.448150463,0.586182594,0.764523661,0.444555242,0.689647281,PAM
3754.801253,0.024420202,0.151776064,0.160896264,0.872175104,0.951300269,SSR1
4078.558571,0.517982676,0.354075508,1.462915858,0.143490404,0.330027929,TRAM2
9315.540271,-1.347138409,0.264944119,-5.084613361,3.68E-07,1.39E-05,HMGA1
3952.464225,-0.084414509,0.102178631,-0.826146405,0.408721046,0.667617832,CD164
13562.73482,-0.316824609,0.175168359,-1.808686286,0.070499755,0.210702657,HSP90AB1
12504.26395,0.824969249,0.473670014,1.741653945,0.081569016,0.231632212,GJA1
4462.039656,-0.165442145,0.238567342,-0.693481948,0.488007151,0.723125442,MARCKS
3458.564785,-0.528567913,0.339307311,-1.557785218,0.119284171,0.292560813,AKAP12
5996.942973,-0.160765706,0.254408053,-0.631920663,0.527438721,0.745713856,RPS12
4683.064476,-0.662411623,0.527574732,-1.255578751,0.209268739,0.42926492,LAMA4
4448.549459,0.280341527,0.239198006,1.172006123,0.241194598,0.479668956,SERINC1
5732.615007,0.140264266,0.232630888,0.602947731,0.546543462,0.752491204,TMEM200A
4300.006194,-0.514764207,0.142270715,-3.61820215,0.000296657,0.003736461,CLIC1
4784.011483,0.402970922,0.465896817,0.864935984,0.387073926,0.65210862,VEGFA
33250.73473,-0.575998986,0.244583622,-2.355018623,0.018521777,0.082336305,EEF1A1
6911.180702,0.684970355,0.216763903,3.159983494,0.001577781,0.013041344,IGF2R
11650.56567,-0.692216947,0.27265038,-2.538844605,0.011121921,0.058834963,TUBB
7027.276114,-0.021218951,0.4881181,-0.043470936,0.965326132,0.97640062,COL12A1
4481.105902,0.071264493,0.301949335,0.236014736,0.813421235,0.919656271,TMEM30A
3764.318718,-0.596276858,0.154943791,-3.848343032,0.000118919,0.001965887,RPL10A
12882.05156,0.858222474,0.33327213,2.575140242,0.010019945,0.0542626,THBS2
4234.401037,-0.416568849,0.162438964,-2.564463831,0.010333535,0.055216565,PRRC2A
11988.84538,1.327331894,0.5378368,2.467908286,0.013590514,0.067824355,CCN2
7865.791073,-0.405902456,0.164937935,-2.460940568,0.013857332,0.068509613,RPS18
5536.248087,0.147616075,0.163422606,0.903278188,0.36637827,0.623196479,DST
9985.898011,-0.099089713,0.299556336,-0.33078824,0.740804444,0.876701457,NT5E
7910.858248,3.959751025,0.66379592,5.965313893,2.44E-09,2.58E-07,SFRP4
163159.3635,0.482627787,0.288406964,1.673426257,0.094243412,0.2521847,COL1A2
18345.26114,-1.207436146,1.054667254,-1.144850322,0.252271166,0.497953159,TFPI2
100910.7645,1.238180368,0.116745443,10.6058133,2.80E-26,1.48E-23,SERPINE1
5538.199442,0.623260636,0.287232289,2.169883609,0.030015664,0.117616936,SEMA3C
4087.275483,0.159148317,0.461961812,0.344505353,0.730466271,0.876701457,CACNA2D1
3792.010876,-0.150884454,0.146959901,-1.026704926,0.304559429,0.557480755,SND1
4955.655648,-0.084508606,0.10990269,-0.768940287,0.44192876,0.688472601,MTPN
11187.52234,0.484019463,0.29603379,1.635014242,0.102046062,0.268568989,CALD1
5644.246268,0.093408072,0.272838064,0.342357185,0.732082105,0.876701457,GARS1
5318.125255,0.090716368,0.175672283,0.516395452,0.605578241,0.798880024,YWHAG
69228.56015,-0.172544395,0.160917857,-1.072251387,0.283607135,0.535264916,ACTB
4467.371959,-0.399050764,0.260865446,-1.529718752,0.12608636,0.30324772,FSCN1
7603.441208,0.000793808,0.46748401,0.001698042,0.998645159,0.998645159,LAMB1
8271.256526,-0.275383831,0.708303166,-0.388793731,0.697428738,0.870141044,CAV1
4340.644155,-0.393897341,0.097284541,-4.048920166,5.15E-05,0.001046901,PPIA
4912.200354,1.26788225,0.803591006,1.577770582,0.114618324,0.287360633,FGL2
4932.039869,-0.499056848,0.823621601,-0.60592977,0.54456139,0.75214876,INHBA
5529.784777,0.120278581,0.149856586,0.80262459,0.422191751,0.670688998,KDELR2
28783.40881,0.439940476,0.187096543,2.351408901,0.018702469,0.082446716,CALU
11588.02358,0.575226585,0.330614133,1.739872946,0.08188133,0.231632212,FLNC
8555.198035,-1.018173031,0.260212916,-3.912845857,9.12E-05,0.001556536,HNRNPA2B1
5696.746659,0.044231842,0.193555279,0.228523047,0.819239641,0.924012951,ZYX
